elapsed_sec,x,y,z,distance_to_goal,path_length,path_efficiency,min_obstacle_distance,success
2525.01,-3.411,18.312,-0.198,21.744,1612.501,0.005,0.204,1
1.00,-3.456,18.255,-0.198,21.720,0.215,1.000,0.205,0
2526.01,-3.477,18.278,-0.198,21.750,1612.747,0.005,0.204,1
2.00,-3.330,18.970,-0.198,22.260,0.960,1.000,0.205,0
2527.01,-3.318,19.023,-0.198,22.299,1613.517,0.005,0.204,1
3.00,-3.075,19.154,-0.190,22.288,1.362,1.000,0.204,0
2528.01,-3.052,19.131,-0.189,22.257,1613.896,0.005,0.204,1
4.00,-2.792,18.774,-0.182,21.820,1.843,1.000,0.204,0
2529.01,-2.769,18.761,-0.181,21.798,1614.370,0.005,0.204,1
5.00,-2.469,18.982,-0.172,21.842,2.302,1.000,0.204,0
2530.01,-2.463,18.985,-0.172,21.842,1614.810,0.005,0.204,1
6.00,-2.359,18.851,-0.170,21.675,2.510,1.000,0.204,0
2531.01,-2.359,18.851,-0.170,21.675,1615.011,0.005,0.204,1
7.00,-2.507,18.767,-0.171,21.673,2.771,1.000,0.204,0
2532.01,-2.545,18.775,-0.171,21.698,1615.311,0.005,0.204,1
8.00,-2.869,18.987,-0.175,22.041,3.235,1.000,0.204,0
2533.01,-2.873,19.035,-0.175,22.084,1615.784,0.005,0.204,1
9.00,-2.864,19.597,-0.178,22.566,3.853,1.000,0.204,0
2534.01,-2.866,19.665,-0.179,22.626,1616.423,0.005,0.204,1
10.00,-2.283,20.118,-0.183,22.753,4.683,1.000,0.204,0
2535.01,-2.227,20.165,-0.184,22.769,1617.257,0.005,0.204,1
11.00,-2.145,20.530,-0.190,23.057,5.151,1.000,0.204,0
2536.01,-2.153,20.557,-0.190,23.085,1617.681,0.005,0.204,1
12.00,-2.245,20.857,-0.193,23.393,5.522,1.000,0.204,0
2537.01,-2.277,20.882,-0.194,23.429,1618.064,0.005,0.204,1
13.00,-2.223,20.938,-0.194,23.455,5.776,1.000,0.204,0
2538.01,-2.191,20.974,-0.193,23.473,1618.326,0.005,0.204,1
14.00,-2.069,21.181,-0.195,23.607,6.073,1.000,0.204,0
2539.01,-2.070,21.204,-0.195,23.628,1618.597,0.005,0.204,1
15.00,-2.157,21.641,-0.197,24.057,6.547,1.000,0.204,0
2540.01,-2.213,21.668,-0.197,24.106,1619.111,0.005,0.204,1
16.00,-2.237,21.334,-0.196,23.816,6.997,1.000,0.204,0
2541.01,-2.219,21.270,-0.196,23.751,1619.565,0.005,0.204,1
17.00,-1.937,20.651,-0.197,23.076,7.746,1.000,0.204,0
2542.01,-1.910,20.591,-0.197,23.010,1620.314,0.005,0.204,1
18.00,-1.562,20.496,-0.191,22.776,8.327,1.000,0.204,0
2543.01,-1.587,20.549,-0.190,22.835,1620.887,0.005,0.204,1
19.00,-1.902,20.748,-0.186,23.147,8.781,0.955,0.204,0
2544.01,-1.918,20.747,-0.186,23.152,1621.297,0.005,0.204,1
20.00,-2.260,20.424,-0.192,23.014,9.308,0.900,0.204,0
2545.01,-2.272,20.366,-0.193,22.968,1621.868,0.005,0.204,1
